,life_lg
267,1.1072099696478683
268,1.734399742520567
269,1.3944516808262162
270,1.6334684555795864
271,1.9405164849325673
272,1.4243915544102774
273,1.4906606533561368
274,1.4906606533561368
275,2.1166077439882485
276,1.3010299956639813
277,1.7109631189952756
278,1.6941662959331982
279,2.620656479819621
280,1.3944516808262162
281,1.1367205671564067
282,1.328583449714202
283,1.37984917876283
284,1.73917663191073
285,1.8952014747788932
286,1.8129133566428555
287,2.173186268412274
288,1.4027770696103474
289,1.709693869727792
290,1.2113875529368587
291,1.709693869727792
292,1.914237347767741
293,1.5178554189300286
294,1.5116160205691376
295,1.5178554189300286
296,2.141763230275788
297,1.6227319651647192
298,1.1072099696478683
299,1.5434471800817002
300,1.4116197059632303
301,1.8407332346118068
302,1.5905074620085833
303,1.2648178230095364
304,1.9476787399369366
305,1.6354837468149122
306,0.9360107957152096
307,1.2886962605902559
308,1.6122539060964374
309,1.4607475418441969
310,1.3447851226326606
311,1.4269989587565373
313,2.2095150145426308
314,1.5378190950732742
315,1.7609499514108973
316,1.3010299956639813
317,2.1473671077937864
318,2.0266966559781596
319,1.4214393902200497
320,2.097430853944242
321,1.5390760987927767
322,2.2258259914618934
323,1.7255032688593155
324,1.7723950610820003
325,1.515873843711679
326,2.0590330049637804
327,1.484014962667563
328,1.2891428359323331
329,1.971832279924925
330,1.9328287669008466
331,2.0493731001515307
332,1.1914510144648955
333,1.4686426683915113
334,1.524396122103842
335,1.5245259366263757
336,2.1402565696774167
337,1.6354837468149122
338,1.4906606533561368
339,1.4517864355242902
340,1.7359978840917938
341,1.6148972160331345
342,1.2886962605902559
343,1.779957051246906
344,1.99056082999402
345,1.2664668954402414
346,1.3569814009931311
347,1.4305587695227575
348,1.8466463285771175
349,2.0096633166793794
350,1.8195439355418688
351,1.493876110852823
352,1.8042076050820415
353,2.353820094897413
354,1.6334684555795864
355,1.6771505212734328
356,1.9030899869919435
357,1.4077307280263354
358,1.6897526961391567
359,1.6732052817790453
360,1.6893088591236203
361,1.579211780231499
362,1.3944516808262162
363,1.1367205671564067
364,1.8567288903828827
365,1.8067225030761813
366,1.379305517750582
367,1.895753942073728
368,1.9122220565324155
369,1.9867717342662448
370,1.3738311450738303
371,1.8305886686851442
372,1.6622855157221301
373,2.0530784434834195
374,1.6622855157221301
375,1.954242509439325
376,1.6015167836500102
377,1.446381812222442
378,2.0755469613925306
379,1.8712225567597072
380,1.3944516808262162
381,1.5820633629117087
382,1.6075622431835883
383,1.1335389083702174
384,1.8712225567597072
385,2.3121773564397787
386,2.100198171834132
387,1.1367205671564067
